cid  1   11 / 32 = 34.4 %
cid  2   22 / 32 = 68.8 %
cid  3   15 / 32 = 46.9 %
cid  4   15 / 32 = 46.9 %
cid  5   3 / 32 = 9.4 %
cid  6   12 / 32 = 37.5 %
cid  7   12 / 32 = 37.5 %
cid  8   20 / 32 = 62.5 %
cid  9   7 / 32 = 21.9 %
cid 10   15 / 32 = 46.9 %
cid 11   14 / 32 = 43.8 %
cid 12   16 / 32 = 50.0 %
cid 13   9 / 32 = 28.1 %
cid 14   9 / 32 = 28.1 %
cid 15   28 / 32 = 87.5 %
cid 16   22 / 32 = 68.8 %
cid 17   21 / 32 = 65.6 %
cid 18   5 / 32 = 15.6 %
cid 19   26 / 32 = 81.2 %
cid 20   15 / 32 = 46.9 %
cid 21   3 / 32 = 9.4 %
cid 22   21 / 32 = 65.6 %
cid 23   25 / 32 = 78.1 %
cid 24   2 / 32 = 6.2 %
cid 25   25 / 32 = 78.1 %
cid 26   21 / 32 = 65.6 %
Total:  394 / 832 = 47.36 %

I\O     1     2     3     4     5     6     7     8     9    10    11    12    13    14    15    16    17    18    19    20    21    22    23    24    25    26
 12   0.0   0.0   9.4   0.0   0.0   0.0  12.5   0.0   0.0   0.0   0.0  50.0   0.0   0.0   0.0   3.1   0.0   3.1   0.0   0.0   3.1   0.0   3.1   0.0   6.2   9.4
 13   9.4  12.5   0.0   3.1   3.1  21.9   0.0   0.0   0.0   0.0   9.4   0.0  28.1   0.0   0.0   3.1   3.1   3.1   0.0   3.1   0.0   0.0   0.0   0.0   0.0   0.0
 14   0.0   3.1   0.0   0.0   0.0   6.2   0.0   0.0   0.0   0.0   0.0   0.0   0.0  28.1   9.4   9.4   0.0   0.0   0.0   3.1   0.0  25.0  12.5   3.1   0.0   0.0
 15   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0  87.5   9.4   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   3.1
 16   0.0   0.0   0.0   0.0   0.0   3.1   0.0   0.0   0.0   6.2   0.0   0.0   0.0   0.0  15.6  68.8   0.0   0.0   0.0   6.2   0.0   0.0   0.0   0.0   0.0   0.0
 17   0.0   3.1   0.0   0.0   0.0   0.0   3.1   0.0   0.0   0.0   6.2   0.0   0.0   0.0  12.5   0.0  65.6   0.0   3.1   0.0   0.0   0.0   0.0   0.0   6.2   0.0
 18   0.0   3.1   0.0   0.0   3.1  25.0   0.0   0.0   0.0   0.0  21.9   0.0   9.4   0.0   0.0  12.5   3.1  15.6   0.0   0.0   0.0   0.0   0.0   0.0   3.1   3.1
 19   0.0   0.0   0.0   0.0   0.0   0.0   3.1   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   3.1   0.0  81.2   0.0   0.0   0.0   0.0   0.0   6.2   6.2
 20   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0  21.9   0.0   0.0   0.0   0.0   9.4   0.0   0.0   0.0   3.1  46.9   0.0   0.0   3.1   0.0   0.0  15.6
 21   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   9.4   0.0   0.0   0.0   3.1   6.2   9.4   0.0   0.0   0.0   9.4  46.9  15.6   0.0   0.0   0.0
 22   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   6.2   0.0   0.0   0.0   0.0   0.0  65.6  21.9   3.1   3.1   0.0
 23   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   3.1   0.0   0.0   0.0   0.0   3.1  15.6  78.1   0.0   0.0   0.0
 24   0.0   3.1   3.1   0.0   0.0   0.0   0.0   0.0   0.0   0.0   6.2   0.0   0.0   0.0   3.1   3.1  15.6   0.0   3.1   0.0   0.0   0.0   0.0   6.2  56.2   0.0
 25   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   3.1   0.0   0.0   0.0   0.0   3.1   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0  78.1  15.6
 26   0.0   0.0   0.0   0.0   0.0   3.1   6.2   0.0   0.0   0.0   0.0   6.2   0.0   0.0   6.2   6.2   0.0   0.0   0.0   3.1   0.0   0.0   0.0   0.0   3.1  65.6
