cid  1   17 / 31 = 54.8 %
cid  2   16 / 31 = 51.6 %
cid  3   16 / 31 = 51.6 %
cid  4   18 / 31 = 58.1 %
cid  5   1 / 31 = 3.2 %
cid  6   23 / 31 = 74.2 %
cid  7   17 / 31 = 54.8 %
cid  8   0 / 31 = 0.0 %
cid  9   0 / 31 = 0.0 %
cid 10   12 / 31 = 38.7 %
cid 11   0 / 31 = 0.0 %
cid 12   16 / 31 = 51.6 %
cid 13   21 / 31 = 67.7 %
cid 14   5 / 31 = 16.1 %
cid 15   14 / 31 = 45.2 %
cid 16   18 / 31 = 58.1 %
cid 17   27 / 31 = 87.1 %
cid 18   14 / 31 = 45.2 %
cid 19   25 / 31 = 80.6 %
cid 20   10 / 31 = 32.3 %
cid 21   11 / 31 = 35.5 %
cid 22   13 / 31 = 41.9 %
cid 23   23 / 31 = 74.2 %
cid 24   14 / 31 = 45.2 %
cid 25   15 / 31 = 48.4 %
cid 26   8 / 31 = 25.8 %
Total:  354 / 806 = 43.92 %

I\O     1     2     3     4     5     6     7     8     9    10    11    12    13    14    15    16    17    18    19    20    21    22    23    24    25    26
 11   0.0   0.0   0.0   0.0   0.0   0.0   9.7   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0  38.7   6.5   0.0   9.7  32.3   0.0   0.0   0.0   3.2   0.0
 12   0.0   0.0  22.6   0.0   6.5   0.0   6.5   0.0   0.0   0.0   0.0  51.6   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0  12.9
 13   0.0   0.0   0.0   0.0   0.0   0.0  19.4   0.0   0.0   0.0   0.0   0.0  67.7   0.0   3.2   0.0   0.0   0.0   0.0   3.2   3.2   0.0   3.2   0.0   0.0   0.0
 14   3.2   0.0   0.0   0.0   0.0   0.0   6.5   3.2   0.0   0.0   0.0   0.0  19.4  16.1   0.0   0.0   0.0   9.7   0.0   0.0   0.0   9.7  32.3   0.0   0.0   0.0
 15   0.0   0.0   3.2   0.0   0.0   3.2   9.7   0.0   0.0   0.0   0.0   0.0   0.0   3.2  45.2   0.0  12.9   0.0   0.0   0.0   0.0   6.5  16.1   0.0   0.0   0.0
 16   6.5   3.2   0.0   9.7   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0  58.1   6.5   0.0   0.0   0.0   3.2   6.5   0.0   0.0   6.5   0.0
 17   0.0   0.0   0.0   0.0   0.0   0.0   3.2   0.0   0.0   0.0   0.0   0.0   3.2   0.0   0.0   0.0  87.1   0.0   0.0   0.0   3.2   0.0   0.0   0.0   0.0   3.2
 18   0.0   3.2   0.0   0.0   0.0   3.2   0.0   0.0   0.0   0.0   3.2   0.0   3.2   0.0   0.0   0.0  25.8  45.2   0.0   3.2  12.9   0.0   0.0   0.0   0.0   0.0
 19   0.0   0.0   3.2   0.0   0.0   0.0   0.0   0.0   0.0   6.5   0.0   0.0   0.0   0.0   0.0   0.0   6.5   0.0  80.6   0.0   0.0   0.0   0.0   0.0   0.0   3.2
 20   3.2   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0  12.9   0.0   0.0   3.2   0.0   9.7   0.0   0.0   0.0   0.0  32.3   0.0  38.7   0.0   0.0   0.0   0.0
 21   0.0   0.0   3.2   0.0   0.0   0.0   6.5   0.0   0.0   0.0   0.0   0.0   0.0   3.2   3.2   0.0   0.0   0.0   0.0   0.0  35.5  16.1  32.3   0.0   0.0   0.0
 22   0.0   0.0   3.2   0.0   0.0   0.0   6.5   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0  12.9   6.5  41.9  29.0   0.0   0.0   0.0
 23   0.0   0.0   0.0   0.0   0.0   0.0  19.4   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   6.5  74.2   0.0   0.0   0.0
 24   0.0   0.0   0.0   0.0   0.0   0.0   3.2   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0  29.0   6.5   0.0   3.2   0.0   3.2   3.2  45.2   6.5   0.0
 25   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   3.2   3.2   0.0   3.2  25.8  16.1   0.0   0.0   0.0  48.4   0.0
 26   0.0   0.0   0.0   0.0   0.0   0.0   3.2   0.0   3.2   3.2   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0  64.5   0.0   0.0   0.0   0.0   0.0  25.8
