cid  1   21 / 32 = 65.6 %
cid  2   26 / 32 = 81.2 %
cid  3   10 / 32 = 31.2 %
cid  4   23 / 32 = 71.9 %
cid  5   17 / 32 = 53.1 %
cid  6   4 / 32 = 12.5 %
cid  7   25 / 32 = 78.1 %
cid  8   11 / 32 = 34.4 %
cid  9   4 / 32 = 12.5 %
cid 10   16 / 32 = 50.0 %
cid 11   7 / 32 = 21.9 %
cid 12   12 / 32 = 37.5 %
cid 13   10 / 32 = 31.2 %
cid 14   1 / 32 = 3.1 %
cid 15   15 / 32 = 46.9 %
cid 16   5 / 32 = 15.6 %
cid 17   4 / 32 = 12.5 %
cid 18   17 / 32 = 53.1 %
cid 19   31 / 32 = 96.9 %
cid 20   19 / 32 = 59.4 %
cid 21   5 / 32 = 15.6 %
cid 22   20 / 32 = 62.5 %
cid 23   15 / 32 = 46.9 %
cid 24   17 / 32 = 53.1 %
cid 25   17 / 32 = 53.1 %
cid 26   17 / 32 = 53.1 %
Total:  369 / 832 = 44.35 %

I\O     1     2     3     4     5     6     7     8     9    10    11    12    13    14    15    16    17    18    19    20    21    22    23    24    25    26
 11   0.0   0.0   0.0   0.0   3.1   0.0   3.1   6.2   0.0   0.0  21.9   0.0   6.2   0.0   0.0   0.0   3.1  18.8   6.2   0.0  15.6   0.0   0.0   0.0  15.6   0.0
 12   0.0   0.0   6.2   0.0   0.0   0.0  46.9   6.2   0.0   0.0   0.0  37.5   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   3.1   0.0   0.0   0.0
 13   9.4   0.0   0.0  15.6   0.0   0.0   0.0  12.5   0.0   0.0   0.0   0.0  31.2   0.0   0.0   9.4   0.0  12.5   0.0   0.0   9.4   0.0   0.0   0.0   0.0   0.0
 14  46.9   0.0   0.0   0.0   0.0   6.2   0.0  15.6   0.0   0.0   0.0   0.0   0.0   3.1   0.0   0.0   0.0   3.1   0.0   0.0   0.0  21.9   3.1   0.0   0.0   0.0
 15   0.0   0.0   0.0   3.1   9.4   0.0  28.1   6.2   0.0   0.0   0.0   0.0   0.0   3.1  46.9   0.0   0.0   0.0   0.0   0.0   0.0   3.1   0.0   0.0   0.0   0.0
 16  43.8   9.4   0.0  18.8   0.0   6.2   0.0   0.0   0.0   3.1   0.0   0.0   0.0   0.0   0.0  15.6   0.0   3.1   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
 17   0.0   0.0   0.0   0.0   0.0   0.0  18.8  15.6   0.0   0.0   0.0   0.0   6.2   0.0   3.1   0.0  12.5   0.0   6.2   0.0  34.4   0.0   0.0   0.0   3.1   0.0
 18   3.1  15.6   0.0  15.6   0.0   6.2   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   3.1   0.0  53.1   0.0   0.0   3.1   0.0   0.0   0.0   0.0   0.0
 19   0.0   3.1   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0  96.9   0.0   0.0   0.0   0.0   0.0   0.0   0.0
 20   0.0   9.4   0.0   0.0   0.0   0.0   3.1   0.0   0.0  12.5   0.0   0.0   0.0   0.0   0.0   0.0   3.1   0.0   0.0  59.4   0.0   0.0   0.0   0.0   0.0  12.5
 21   3.1   0.0   0.0   0.0   0.0   0.0   6.2   6.2   0.0   0.0   0.0   0.0  12.5   3.1   0.0   0.0   0.0   0.0   0.0   0.0  15.6  28.1  25.0   0.0   0.0   0.0
 22   0.0   0.0   0.0   0.0   9.4   0.0   6.2   3.1   0.0   0.0   0.0   0.0   0.0   9.4   0.0   0.0   0.0   0.0   0.0   0.0   0.0  62.5   6.2   0.0   3.1   0.0
 23   3.1   0.0   0.0   0.0   0.0   0.0   9.4   3.1   0.0   0.0   0.0   0.0   0.0  12.5   0.0   0.0   0.0   0.0   0.0   0.0   3.1  21.9  46.9   0.0   0.0   0.0
 24   0.0   3.1   6.2   3.1   0.0   0.0   0.0   0.0   0.0   3.1   3.1   0.0   3.1   0.0   0.0   0.0   3.1   3.1   6.2   0.0   0.0   3.1   0.0  53.1   6.2   3.1
 25   0.0   6.2   0.0   0.0   0.0   0.0   0.0   6.2   0.0   0.0   0.0   0.0   0.0   3.1   0.0   3.1   0.0   0.0   3.1   3.1   6.2   0.0   0.0   3.1  53.1  12.5
 26   0.0   0.0   0.0   3.1   6.2   0.0  15.6   0.0   0.0   0.0   0.0  12.5   0.0   0.0   0.0   0.0   0.0   3.1   0.0   0.0   0.0   0.0   0.0   0.0   6.2  53.1
